post,label
"Lenskart Dhamaka EOSS Sale! Fresh stock added, get Upto 50% OFF + BUY1GET1 FREE with Gold membership! Limited Period Offer. TnC Apply Nearest Store lskt.me/u4",spam
Act now! Flipkart Big Sale ends soon. Shop here: http://promo.clicknow,spam
Congratulations! You've won a passport. Click here to claim: http://bit.ly/winner,spam
"Want security that is customized for your home? Get Airtel Xsafe, an advanced home surveillance solution with personalized expert installation. https://i.airtel.in/XSafeHassle-Free",spam
Limited period offer: Get up to 19% cashback on Paytm.,spam
"If the weather is good and power comes back by tomorrow morning, I will join",not_spam
"Tickets Booked! Download your M-ticket from https://bmsurl.co/VKXzodzIzc and show it at the venue entrance to scan and enter. Here is your Booking ID - WMXXX73 for The Priest (U/A) on Wed, 24 Mar, 2021 09:45pm, at PVR: Vega City, Bannerghatta Road(AUDI 09), Seats: CLASSIC. - D8, D9, D10 Please note that you don't require physical tickets to enter the venue. Don't go hungry! Click here to pre-book your meal: https://bmsurl.co/DEKA6sijvU This transaction can be cancelled up to 20 min(s) before the show as per cinema cancellation policy. In view of the Covid-19 situation, please follow these safety guidelines: bmsurl.co/TLUlJ3uunN",spam
"Rs100 coupon is now yours! Refer a friend to join Airtel today & get Rs100 coupon on your next recharge, t&c. Click i.airtel.in/e/ReferralAOS2",spam
"Currently in the bidding process, and the prices we're seeing so far are rising",not_spam
Okay,not_spam
Last chance to move First Forward on shoppersstop.com & app Click bit.ly/FF_Mwtc Shop Watches & Earn 10x Reward points + Bonus points bit.ly/BRP421 T&C,spam
Limited period offer: Get up to 45% cashback on Paytm.,spam
Can you send the class notes from today’s lecture?,not_spam
"Hello! Get up to 10% cashback on recharge through CRED pay using credit card, simply click https://bit.ly/myvi-app and enjoy the offer.",spam
Lowest rates on personal loans. No PAN required. Apply now!,spam
"Yes, no issues at my place.",not_spam
Your Swiggy order is on the way. Tracking ID: 8578546568.,not_spam
Congratulations! You've won a jacket. Click here to claim: http://promo.clicknow,spam
Act now! Flipkart Big Sale ends soon. Shop here: http://bit.ly/winner,spam
Laptop issue,not_spam
Congratulations! You've won a ticket. Click here to claim: https://fraud-link.com,spam
"Team, having some network issues...will join soon",not_spam
???????????? Cool,not_spam
"Alert!100%: of daily highspeed data is consumed Get 5GB + FREE 2GB (EXCLUSIVE on Airtel Thanks App) at Rs98, valid till current pack i.airtel.in/UnlimitedData-1",spam
In Light of Covid-19 we request you to avoid travel and recommend to use My Vodafone App. Click bit.ly/ViRchg14 to manage your mobile Account,spam
Can you send the class notes from today’s lecture?,not_spam
URGENT: Your SBI account will be suspended. Log in now at http://bit.ly/winner,spam
?image omitted,not_spam
Final notice: Pay your phone bill to avoid service disruption.,spam
UIDAI recommends updating Proof of Identity & Address documents in your Aadhaar (free at myaadhaar.uidai.gov.in or @ Rs 50/- at any Aadhaar Centre) -UIDAI,spam
Alert!90%: data is consumed. Get 5GB data topup at just Rs98 valid till your current pack. Click i.airtel.in/Get-Data,spam
Reminder: Your LIC premium payment is due tomorrow at 10:30 AM.,not_spam
Congratulations! You've won a passport. Click here to claim: http://promo.clicknow,spam
All the best for your GATE exam tomorrow!,not_spam
The July PCE inflation data might not be that favorable,not_spam
Please check the WhatsApp group for the latest college fest update.,not_spam
"Only on Vi - unused Data from Monday to Friday? Binge and use this Data with Rollover on Weekends! Know more, dial 121369 or click bit.ly/GetViApp",spam
Final notice: Pay your electricity bill to avoid service disruption.,spam
Can you send the class notes from today’s lecture?,not_spam
Act now! Flipkart Big Sale ends soon. Shop here: https://fraud-link.com,spam
Pre-approved for a ₹286 loan. Apply instantly!,spam
Meeting with HR has been shifted to 10:30 AM. Please check.,not_spam
Win a jacket worth ₹567! Take part in our contest: http://promo.clicknow,spam
Reminder: Your LIC premium payment is due tomorrow at 10:30 AM.,not_spam
Last Day to move First Forward this weekend on shoppersstop.com Click bit.ly/FF_Mwtc Shop Watches & Earn 10x Reward points+Bonus points bit.ly/BRP421 T&C,spam
Final notice: Pay your subscription to avoid service disruption.,spam
"Hi 9019XXXX40, Rs.15,OOO/- is Credited on your wallet account. Join Now to withdrawal directly: SR3.in/N44CD-2199DA024",spam
Your Swiggy order is on the way. Tracking ID: 8249244683.,not_spam
Lowest rates on credit cards. No PAN required. Apply now!,spam
Reminder: Your LIC premium payment is due tomorrow at 2:15 PM.,not_spam
All the best for your GATE exam tomorrow!,not_spam
Win a passport worth ₹936! Take part in our contest: https://scamoffers.net,spam
Aggressive entry after deep retracement,not_spam
LAST DAY Rs.250 credited as unconditional FREE UNLIMITED Cash Points in your account to shop at UNLIMITED Fashion Store. Hurry ! TnC : bit.ly/3vdC7ss,spam
Your Airtel SIM is 5G ready. Check now if your Smartphone is 5G enabled. Click i.airtel.in/e/airtel5G,spam
Act now! Flipkart Big Sale ends soon. Shop here: https://fraud-link.com,spam
Please check the WhatsApp group for the latest college fest update.,not_spam
Yes,not_spam
Not necessarily there are still three policy meetings left this year,not_spam
Limited period offer: Get up to 49% cashback on Paytm.,spam
Thank you. I have a question,not_spam
But it didnt work,not_spam
Good evening Check in,not_spam
Act now! Flipkart Big Sale ends soon. Shop here: https://fraud-link.com,spam
Please check the WhatsApp group for the latest college fest update.,not_spam
URGENT: Your SBI account will be suspended. Log in now at http://promo.clicknow,spam
I see,not_spam
Congratulations! Your smartphone deserves a 5G ready network. Order Airtel prepaid SIM online & get it delivered at home at no extra cost Click i.airtel.in/awj,spam
Please check the WhatsApp group for the latest college fest update.,not_spam
Can you send the class notes from today’s lecture?,not_spam
Congratulations! You've won a jacket. Click here to claim: https://scamoffers.net,spam
Kindly can someone help me on this how to fix this i tried rebooting multiple times,not_spam
Bowman is a Trump appointee and Trump had long wanted to replace Powell but never had the opportunity,not_spam
"Complete your Vedix Follow Up Quiz right away and get feedback directly from Ayurvedic experts. Based on your feedback, any product changes will be sent to you for free. Click here https://vedix.in/3l33poYZ2-p/KbqdD8D to take the quiz right away.",spam
Pre-approved for a ₹785 loan. Apply instantly!,spam
Your Swiggy order is on the way. Tracking ID: 9697048516.,not_spam
??????????????????,not_spam
Importance of communication and projecting oneself,not_spam
Meeting with HR has been shifted to 10:30 AM. Please check.,not_spam
Study from Home with Vi!! Watch Kite Victers Channel FREE on your Mobile with Vi . Download Vi Movies and TV app now . Click bit.ly/Vi-kite2,spam
OTP is 513485 and is valid for 10 minutes. Aadhaar enrollment and Mandatory biometric updates are free.Pay only Rs.50 for other updation,spam
Ok,not_spam
"Wednesday Bonus@JioMart,Bangalore!Onion Rs 27/Kg,Apple Simla Rs 139/Kg,Cucumber Rs 19/Kg,Also at SMART &SMART Point store bit.ly/385FTKd 25Aug,TC",spam
Final notice: Pay your phone bill to avoid service disruption.,spam
""" In the stock market, specific stock actions are underway. The market showed a sideways consolidation before the long weekend ended. Since this week has a short weekend, there was not much volatility in the market. The market might also remain in a sideways trend on Friday. After being closed yesterday due to Independence Day, the domestic market on Wednesday, August 14, traded within a narrow range throughout the day. On the day of the weekly expiration, the stock market displayed a cautious sentiment, trading within a limited range all day before closing higher. Nifty rose by 4 points to close at 24,143 points, while Sensex increased by 149 points to close at 79,105 points; Nifty Bank fell by 104 points to close at 49,727 points.""",not_spam
Pre-approved for a ₹107 loan. Apply instantly!,spam
Earn ₹870/day from home! No experience needed!,spam
"ThatÃ¢ÂÂs all for todayÃ¢ÂÂs technical sharing. If anyone has any questions, feel free to message me privately. If IÃ¢ÂÂm unable to respond immediately, you can also discuss in the group. There are many experienced friends in the group who have been investing in the stock market for years and can offer valuable insights. See you all tomorrow!",not_spam
Exclusive deal on your mobile recharge. Visit https://fraud-link.com now!,spam
Lowest rates on credit cards. No PAN required. Apply now!,spam
Because we can't even see the outlook option on office 365 via web,not_spam
"As part of Cyber Swachhta Pakhwada, CERT-In GoI advises you to keep your digital devices bot free. Get bot removal tool at https://www.csk.gov.in",spam
URGENT: Your SBI account will be suspended. Log in now at https://scamoffers.net,spam
"ENDS TODAY Shoppers Stop Showstoppers 2021 -The Biggest Beauty Extravaganza of the year! Use code CS10K & get FLAT 10% OFF on Rs.2500 or more +Special Beauty Kits, Offers, Free gifts & much more. Everything Beauty, only at one destination. Visit our nearest store or shop online at bit.ly/SS21bty T&C*",spam
Congratulations! You've won a ticket. Click here to claim: http://promo.clicknow,spam
All the best for your GATE exam tomorrow!,not_spam
Limited period offer: Get up to 61% cashback on Paytm.,spam
YOUR WINNING PARCEL FROM FROM APPLE USA WILL ARRIVE INDIA ON THURSDAY 29TH AUGUST 2024 BY INDIAN 10 AM,spam
Final notice: Pay your phone bill to avoid service disruption.,spam
Actually today is my weak off and I had some plan arranged beforehand,not_spam
Friday of the year you're eagerly waiting for is finally here! PANTALOONS BLACK FRIDAY SALE is back from 24-27 NOV! Get your whishlist shopped with FLAT 25% OFF on our exclusive merchandise. Visit ur nearby Pantaloons store or Shop online tltx.in/oykJG TC. offer on select range,spam
"Dear Customer, Get SBI Credit Card with up to Rs.1,50,000 limit! Instant approval & doorstep delivery. Apply now! http://gmg.im/bUNw7Q Smart Cardon",spam
Win a jacket worth ₹349! Take part in our contest: http://promo.clicknow,spam
URGENT: Your SBI account will be suspended. Log in now at http://bit.ly/winner,spam
Your Swiggy order is on the way. Tracking ID: 9958849144.,not_spam
Yes we'll have to go over it a few times,not_spam
Can you send the class notes from today’s lecture?,not_spam
How was your weekend ??,not_spam
Pre-approved for a ₹263 loan. Apply instantly!,spam
